date,open,high,low,close,volume,RSI,SMA,upper,lower,EMA,MACD,signal,histogram
2022-10-09 08:00:00,1315.07,1318.12,1313.62,1315.35,2652.0545,42.9241,1317.4905,1330.9543,1304.0267,1314.8192,-4.422,-5.4474,1.0255
2022-10-09 09:00:00,1315.31,1318.2,1314.83,1317.44,2402.3143,46.409,1317.1075,1330.1116,1304.1034,1315.3434,-3.9589,-5.1497,1.1908
2022-10-09 10:00:00,1317.45,1326.84,1315.87,1322.47,4527.2998,53.7309,1317.0055,1329.8062,1304.2048,1316.7687,-3.1497,-4.7497,1.6
2022-10-09 11:00:00,1322.49,1328.31,1322.3,1323.08,3790.6888,54.5421,1316.6785,1328.4677,1304.8893,1318.031,-2.4312,-4.286,1.8548
2022-10-09 12:00:00,1323.12,1329.33,1323.06,1326.53,3744.5566,58.9276,1316.6125,1328.1631,1305.0619,1319.7308,-1.5653,-3.7419,2.1765
2022-10-09 13:00:00,1326.48,1328.1,1321.88,1322.16,2639.859,52.0745,1316.464,1327.6432,1305.2848,1320.2166,-1.2177,-3.2371,2.0193
2022-10-09 14:00:00,1322.15,1326.35,1321.08,1324.79,3391.9674,55.4337,1316.469,1327.663,1305.275,1321.1313,-0.7217,-2.734,2.0123
2022-10-09 15:00:00,1324.82,1327.84,1323.9,1326.7,2863.4205,57.7498,1316.53,1327.9311,1305.1289,1322.245,-0.1725,-2.2217,2.0492
2022-10-09 16:00:00,1326.74,1327.91,1322.13,1325.74,3723.5878,56.1697,1317.431,1328.7527,1306.1093,1322.944,0.1832,-1.7407,1.9239
2022-10-09 17:00:00,1325.76,1326.46,1323.03,1324.67,2187.892,54.3837,1318.0595,1329.5223,1306.5967,1323.2892,0.3744,-1.3177,1.6921
2022-10-09 18:00:00,1324.54,1326.65,1322.23,1325.91,2653.8597,56.1248,1318.5695,1330.4682,1306.6708,1323.8134,0.6189,-0.9304,1.5493
2022-10-09 19:00:00,1325.9,1326.78,1309.98,1320.21,8900.7956,47.2053,1318.954,1330.5387,1307.3693,1323.0927,0.3487,-0.6746,1.0232
2022-10-09 20:00:00,1320.07,1321.37,1317.09,1321.12,2815.362,48.6095,1319.384,1330.6146,1308.1534,1322.6982,0.2056,-0.4985,0.7041
2022-10-09 21:00:00,1320.98,1323.92,1317.88,1321.62,2610.4087,49.4057,1319.875,1330.5828,1309.1672,1322.4825,0.131,-0.3726,0.5036
2022-10-09 22:00:00,1321.49,1321.93,1316.14,1316.59,16833.5364,42.3046,1320.275,1329.7989,1310.7511,1321.304,-0.3301,-0.3641,0.034
2022-10-09 23:00:00,1316.68,1323.81,1314.29,1323.41,9631.5043,52.3128,1320.9135,1329.4267,1312.4003,1321.7252,-0.1436,-0.32,0.1764
2022-10-10 00:00:00,1323.27,1334.78,1320.45,1333.34,12026.1143,62.51,1321.9185,1331.2748,1312.5622,1324.0482,0.7962,-0.0968,0.893
2022-10-10 00:00:00,1323.27,1334.78,1320.45,1333.34,12026.1143,62.51,1322.844,1332.8518,1312.8362,1325.9065,1.5235,0.2273,1.2963
2022-10-10 01:00:00,1333.33,1338.41,1330.53,1331.05,9621.773,59.1283,1323.5355,1333.8012,1313.2698,1326.9352,1.8933,0.5605,1.3328
2022-10-10 02:00:00,1331.2,1331.31,1322.7,1324.5,5357.9997,50.6827,1324.001,1333.5286,1314.4734,1326.4482,1.639,0.7762,0.8628
2022-10-10 03:00:00,1324.55,1326.34,1320.97,1323.48,3228.7043,49.4971,1324.4075,1333.0793,1315.7357,1325.8545,1.3396,0.8889,0.4508
2022-10-10 04:00:00,1323.46,1325.49,1321.72,1324.76,2985.6441,51.0448,1324.7735,1332.8345,1316.7125,1325.6356,1.192,0.9495,0.2425
2022-10-10 05:00:00,1324.64,1325.13,1315.79,1317.86,6197.089,43.3351,1324.543,1333.1025,1315.9835,1324.0805,0.5122,0.862,-0.3498
2022-10-10 06:00:00,1317.92,1320.69,1312.0,1315.25,9211.6696,40.8233,1324.1515,1333.6117,1314.6913,1322.3144,-0.2343,0.6428,-0.8771
2022-10-10 07:00:00,1315.25,1320.14,1314.02,1317.09,8254.2814,43.3176,1323.6795,1333.551,1313.808,1321.2695,-0.6698,0.3803,-1.0501
2022-10-10 08:00:00,1316.9,1317.86,1296.58,1306.72,21140.7989,34.4934,1322.9075,1335.2414,1310.5736,1318.3596,-1.8306,-0.0619,-1.7687
2022-10-10 09:00:00,1306.7,1313.25,1305.17,1312.91,7779.6973,42.0783,1322.3135,1335.3517,1309.2753,1317.2697,-2.2254,-0.4946,-1.7308
2022-10-10 10:00:00,1312.92,1314.79,1309.82,1310.23,5980.6807,39.923,1321.49,1335.3694,1307.6106,1315.8618,-2.7232,-0.9403,-1.7828
2022-10-10 11:00:00,1310.14,1317.93,1309.99,1315.05,6084.448,45.3452,1320.9555,1334.9618,1306.9492,1315.6994,-2.6976,-1.2918,-1.4058
2022-10-10 12:00:00,1315.07,1319.76,1312.78,1318.41,10173.9242,48.8134,1320.6425,1334.5824,1306.7026,1316.2415,-2.3788,-1.5092,-0.8696
2022-10-10 13:00:00,1318.26,1319.41,1308.27,1310.46,18607.4868,42.0192,1319.87,1334.2617,1305.4783,1315.0852,-2.7361,-1.7546,-0.9815
